BEAM - szerokość całkowita,DWT - nośność statku,GT - pojemność statku brutto,LOA - długość statku,Nazwa statku,NT - pojemność statku netto,Maksymalne zanurzenie letnie,Numer IMO,Numer MMSI,Sygnał wywoławczy,Typ statku
16.02,2532,3513,81.8,FOLLA,1062,6.1,9359648,,,Refrigerated Cargo Ship
20,12898,8289,140.55,SENATA,5253,7.5,9451575,636013823,A8PS4,Bulk Carrier
15.6,4449,3327,90.9,STOLT REDSHANK,1357,6.01,9566746,235089046,2EXV5,Chemical/Products Tanker
15.6,4449,3327,90.9,STOLT REDSHANK,1357,6.01,9566746,235089046,2EXV5,Chemical/Products Tanker
13.52,767,1240,50,MAINPORT GEO,372,4.3,9723667,538009069,V7A4270,Platform Supply Ship
11.52,1050,1310,53.78,AMBER CECILIA,393,4.25,7381635,261003050,SNBF,Platform Supply Ship
30.03,39072,25278,179.99,LEGIONY POLSKIE,13009,10.5,9708045,636017071,D5JD8,Bulk Carrier
23.5,14233,12514,157.94,NORDIC ISTRIA,5387,8.6,9474383,255806452,CQEP9,Container Ship (Fully Cellular)
0,10040,11473,134,ANNA,3834,7.8,9501887,,,General Cargo Ship
15.35,5352,3833,104.13,KIRSI,2127,5.6,9490179,304964000,V2GX8,General Cargo Ship
8.51,188,242,31.32,HIPPO,72,3.8,8422058,377207000,J8B6477,Tug
19.63,11161,7244,129.75,BISCAY,3642,8,9474450,219031111,OUJO2,Chemical/Products Tanker
22.08,4333,6776,93.4,BOKA FALCON,2032,7.8,9448401,205787000,ORTD,Anchor Handling Tug Supply
11.52,1050,1310,53.78,AMBER CECILIA,393,4.25,7381635,261003050,SNBF,Platform Supply Ship
32.29,64195,36462,199.9,GLBS MAGIC,21013,13.5,9972816,538090679,V7A7125,Bulk Carrier
,,,,Bremerhaven,,,,,,Hopper/Dredger (unspecified)
13.6,4111,2820,89.72,ANNA LEHMANN,1548,5.71,9225562,304145000,V2BC8,General Cargo Ship
20.65,3414,9233,99.9,ISAR HIGHWAY,2940,5.5,9195145,212949000,P3SR8,Vehicles Carrier
44.03,114426,63513,249.97,SEAGALAXY,35025,14.84,9847231,477269100,VRSB8,Crude Oil Tanker
35.32,39964,34882,200.04,VENTA MAERSK,18522,11.02,9775763,219115000,OWHH2,Container Ship (Fully Cellular)
20.65,3414,9233,99.9,ISAR HIGHWAY,2940,5.5,9195145,212949000,P3SR8,Vehicles Carrier
,,,,BREMERHAVEN,,,,,,Hopper/Dredger (unspecified)
15.5,2355,2327,68.95,BAZALT II,751,6,9250036,210444000,5BAK6,Anchor Handling Tug Supply
13.17,4211,2844,89.75,KERLI,1568,6.09,9125695,305468000,V2RG9,General Cargo Ship
12.5,3568,2270,82.51,ANNIKA,1196,5.69,9000833,230714000,OJUZ,General Cargo Ship
15.87,11048,6626,132.5,LAUNKALNE,3448,7.85,9504114,210388000,5BYP5,General Cargo Ship
14.8,6665,3990,110.78,CARELIE,2208,6.51,9341744,230048000,OJVH,General Cargo Ship
51.06,176634,169423,397.56,APL SINGAPURA,76852,16,9632002,566955000,S6LT3,Container Ship (Fully Cellular)
22.8,17999,12770,149.9,GAIA DESGAGNES,5838,9.36,9739800,316015060,CFA2990,Chemical/Products Tanker
27.24,28227,17027,169.37,ATROMITOS L,10108,9.82,9605073,538007387,V7IU9,Bulk Carrier
0,4496,2997,89.92,HIMMEL,1598,5.81,9518414,,,General Cargo Ship
14.18,3697,1998,88.19,JUMBO,1217,4.96,8518297,314416000,8PAJ8,General Cargo Ship
14.18,3697,1998,88.19,JUMBO,1217,4.96,8518297,314416000,8PAJ8,General Cargo Ship
12.5,2999,1960,89.03,HAV ZANDER,950,4.57,9001849,311014900,C6XN5,General Cargo Ship
23.05,12234,11494,148.41,CHARLIE,4387,8.1,9736236,305543000,V2HK6,General Cargo Ship
26.52,11663,25609,187.06,JUTLANDIA SEA,7682,6.8,9395355,265032000,SBZE,Ro-Ro Cargo Ship
54,186745,177381,398,CMA CGM KERGUELEN,106359,16.48,9702132,215207000,9HA5014,Container Ship (Fully Cellular)
32.29,65741,52726,294.05,GSL TINOS,32613,13.62,9437050,636020984,5LBR6,Container Ship (Fully Cellular)
23.5,14233,12514,157.94,NORDIC ISTRIA,5339,8.6,,255806452,CQEP9,
11.45,2660,1904,87.91,WILSON DUISBURG,878,4.1,9557410,314037000,8PMH,General Cargo Ship
44.09,114243,64605,249.92,FEZZAN,34679,15,9888730,215989000,9HA5405,Crude/Oil Products Tanker
13.4,7020,3995,111.4,AYADA,1559,6.43,9268863,304639000,V2RC3,General Cargo Ship
42.03,107508,60379,243.8,IONIC ASPIS,32114,14.58,9523287,538007962,V7IR6,Crude Oil Tanker
16,4972,4657,99.9,BITLAND,1397,6.35,9503914,244784000,PCXU,Asphalt/Bitumen Tanker
32.3,57255,33338,189.99,PRISMA,18901,13.02,9461805,538010700,V7A7283,Bulk Carrier
14.5,6050,4255,114.4,AMBER STAR,2341,6.04,9534286,305641000,V2FD5,General Cargo Ship
32.04,40924,26364,182.8,SC DRACO,11403,11.12,9752022,477439800,VRQF3,Chemical/Products Tanker
23.5,14233,12514,157.94,NORDIC ISTRIA,5387,8.6,9474383,255806452,CQEP9,Container Ship (Fully Cellular)
59,213971,194849,399.2,MARIBO MAERSK,89317,17,9619969,219019094,OWJJ2,Container Ship (Fully Cellular)
13.2,3610,2549,88,AMADEUS SAFFIER,1194,5,9996903,245918000,PHWJ,General Cargo Ship
15.63,4988,3709,106.2,ORAHOLM,1495,6.29,9336696,220442000,OYAA2,Chemical/Products Tanker
43.84,115814,61473,248.96,AEGEAN NOBILITY,35396,14.93,9345441,240657000,SXZB,Crude Oil Tanker
44.04,113221,62350,249.97,PALLADIUM,34489,15.12,9773923,636022218,5LHS8,Crude Oil Tanker
23.04,16745,12137,144.05,ESSEX STAR,5493,9,9348297,256809000,9HDA9,Chemical/Products Tanker
11.38,2325,1513,82.45,ICELANDICA HAV,782,4.22,8128884,309175000,C6VC3,General Cargo Ship
32.26,19048,58947,199.5,GRAND EAGLE,17685,9.62,9267663,357347000,HOXM,Vehicles Carrier
23.73,19999,13769,155.47,EVINCO,6521,9.78,9308546,266201000,SFZX,Chemical/Products Tanker
46.04,148644,80918,276.96,HEATHER KNUTSEN,45900,17.02,9273064,257032850,LADY8,Shuttle Tanker
29.6,31114,32245,204.29,CMA CGM MERMAID,9673,10,9961283,256708000,9HA5943,Container Ship (Fully Cellular)
32,50550,29557,183.06,NORD VALOROUS,13791,13.316,,,D5RG5,
43.83,113416,62150,249.84,EAGLE BRASILIA,35438,15.1,9795062,563074600,9V5383,Crude Oil Tanker
21.5,10700,8971,154.85,FAITH,4776,6.97,9301108,255802760,CQPO,Container Ship (Fully Cellular)
8.5,170,178,27.8, MATCHER,53,1.6,9778208,219031713,OUOB2,Crew/Supply Vessel
22,8058,3620,104.9,QUANTA,1086,4.89,,,,
48.26,141406,141649,366,MSC EMMA,73833,15.5,9463047,636018571,D5QH6,Container Ship (Fully Cellular)
32.29,62623,34909,200,BENJAMIN OLDENDORFF,20870,13.35,9853034,255806325,CQEA3,Bulk Carrier
16.4,2752,2598,73.75,SAR LOKE,870,6.88,9166613,259495000,LMVP3,Anchor Handling Tug Supply
27,8500,25675,198.99,VICTORIA SEAWAYS,11463,6.4,9350721,277408000,LYTD,Passenger/Ro-Ro Ship (Vehicles)
22.74,11286,9981,134.44,BIANCA RAMBOW,6006,8.71,9297591,211141000,DIFT,Container Ship (Fully Cellular)
12.5,3250,2377,89,FRANCISCA,1409,5,9148166,212617000,5BSZ4,General Cargo Ship
11.35,3001,2061,88.48,RIX EMERALD,1161,4.95,9116802,209014000,P3ME6,General Cargo Ship
24.04,23127,14912,159.9,YAMAN,8040,10,9504944,572882220,T2IJ6,General Cargo Ship
12.5,3568,2270,82.51,ANNIKA,1196,5.69,9000833,230714000,OJUZ,General Cargo Ship
12.5,3250,2377,89,FRANCISCA,1409,5,9148166,212617000,5BSZ4,General Cargo Ship
7.84,70,140,22.57,EMS POWER,42,3.16,9546954,255871000,CQWJ,Tug
16.85,7351,5261,115.46,KAMILLA,2606,6.28,9427081,305108000,V2CU2,General Cargo Ship
13.26,5050,2998,95.16,VALENTINA,1709,6.2,9195872,314500000,8PAU4,General Cargo Ship
25.83,21150,17368,168.09,ESPERANCE,7822,10.5,9491484,244265000,PBEZ,Container Ship (Fully Cellular)
13.8,4750,3170,98.94,KATRIN,1876,5.74,9155987,305511000,V2RD5,General Cargo Ship
30,40486,25175,179.9,MAPLE GRACE,13740,10.95,1069704,563255300,9VCQ8,Bulk Carrier
23.03,16979,12164,144.05,RUBIKON 202,5492,9,9344423,255806519,CQEY4,Chemical/Products Tanker
29.87,33648,25672,207.37,JPO GEMINI,13597,11.4,9294020,636091995,A8VF7,Container Ship (Fully Cellular)
51.06,176774,169423,397.56,APL CHANGI,76852,16,9631981,566882000,S6LT7,Container Ship (Fully Cellular)
12.27,2490,1627,85.26,ANGON,741,5.31,9131199,261037120,SNAN,Products Tanker
23.45,8500,4700,105.52,GAMMA,1410,5.65,8618322,, 5BAZ6,"General Cargo Barge, non propelled"
21.2,13777,8938,136.4,HELENE JULIE,4815,8.35,9287314,244130873,PDGK,General Cargo Ship
32.23,47941,28778,179.99,PACIFIC QUARTZ,12680,12.62,9573696,636015154,A8YY5,Crude/Oil Products Tanker
0,0,184,29.29,HERMES,53,3.08,7628978,,,Tug
12.45,0,296,27.27,PANDA,88,2.7,9807798,245852000,PCOA,Utility Vessel
0,13030,7833,149.86,ARROW STAR 1,3356,6.97,9435313,256791000,9HCP9,Products Tanker
16,6886,3953,103,ORALYNN,1940,7,9402677,219030184,OZWA2,Chemical/Products Tanker
30.04,34827,24187,179.94,TRANSNORDIC,12064,10.1,9602174,636023850,D5VU8,General Cargo Ship (Open Hatch)
0,224819,235341,399.99,OOCL FINLAND,70978,16.5,9922536,477941100,VRVX3,Container Ship (Fully Cellular)
13.6,4113,2863,89.96,LISTER,1527,5.71,9155963,231023000,OZ2163,General Cargo Ship
16.85,7323,5261,115.5,KIMBERLY,2382,6.28,9378242,305238000,V2DK3,General Cargo Ship
13.03,3531,2642,87.98,MAUREEN S,1161,5.17,8707783,304323000,V2OA8,General Cargo Ship
0,174239,171542,398.9,ELEONORA MAERSK,62537,17,9321500,220477000,OVXP2,Container Ship (Fully Cellular)
26.4,7750,23498,147.93,ELBE HIGHWAY,7050,7.9,9316282,311995000,C6UR3,Vehicles Carrier
12.27,2490,1627,85.26,ANGON,741,5.31,9131199,261037120,SNAN,Products Tanker
28.43,32211,20954,179.91,STAMFORD PIONEER,11781,10.15,9636943,477462800,VRJD7,Bulk Carrier
16,6886,3953,103,ORALYNN,1940,7,9402677,219030184,OZWA2,Chemical/Products Tanker
21.8,10316,8032,138.15,JSP MISTRAL,3615,7.75,9368041,305643000,V2FD7,Container Ship (Fully Cellular)
8.51,188,242,31.32,HIPPO,72,3.8,8422058,377207000,J8B6477,Tug
13.33,4054,2613,89,NORDIC SOLA,1237,5.65,9375989,258715000,LAIS6,Chemical/Products Tanker
13.63,4512,3117,99.86,KAILI,1744,5.63,9114737,305620000,V2RE3,General Cargo Ship
29.83,38167,23268,179.97,IRMGARD,12134,10.54,9590967,636023986,5LQK3,Bulk Carrier
19.6,11283,7636,129.75,ASTINA,3644,8.1,9320063,266220000,SHZA,Chemical/Products Tanker
11.46,2489,1864,82.38,RIX SPRING,938,4.79,9137296,209938000,C4HU2,General Cargo Ship
20.63,11581,9074,148.5,ACONCAGUA BAY,5844,9.42,9019652,636013146,A8KY9,Refrigerated Cargo Ship
19.25,16861,9999,149.5,ARKLOW WILLOW,5155,8.59,9818955,250005692,EIVV3,General Cargo Ship
23.04,16791,12137,144.05,ARSLAND,5493,9,9395989,249332000,9HPR9,Chemical/Products Tanker
12.9,3666,2452,87.82,WILSON DUNMORE,1369,5.59,9383924,314634000,8PBK9,General Cargo Ship
44.032,114073,63758,249.9,SEARUBY,35001,15.123,9759795,249693000,9HA4339,Crude/Oil Products Tanker
32.24,50215,29681,183.06,YASA SWAN,13779,13.316,9857248,538008271,V7A2172,Chemical/Products Tanker
11.54,3357,2064,87.99,COE MINA,1074,5.23,8509820,212746000,P3FN8,General Cargo Ship
27.83,37193,22662,186.4,CHARLES,12531,11,9595175,538011418,V7A7106,Bulk Carrier
32.292,63533,35832,199.98,ULTRA DEDICATION,20839,13.418,9790866,563070700,9V8567,Bulk Carrier
9.12,300,239,26.08,SERVER,71,2.63,9364538,219024194,OXBO2,Tug
30.07,39511,25189,179.9,COPENHAGEN BULKER,12869,10.6,9831490,548976000,DUJW,Bulk Carrier
10.2,216,309,30,RADUGA POSEIDON,92,3.5,9741229,255972000,CRXF,Tug
35.32,39964,34882,200.04,VENTA MAERSK,18522,11.02,9775763,219115000,OWHH2,Container Ship (Fully Cellular)
13.35,3614,2593,88,CL NOGARO,1212,4.9,9969493,205136000,ONLR,General Cargo Ship
28.53,36940,24167,189.96,WHITE DEFENDER,12580,10.4,,477019400,VRWH4,
48.04,158871,81722,274.22,OLYMPIC FRIENDSHIP,52054,17.15,9745251,538007512,V7SP5,Crude Oil Tanker
32.26,50780,29105,182.98,SSI ERDOGAN BEY,15527,12.15,9401946,538009494,V7A4810,General Cargo Ship (Open Hatch)
32.3,57155,32858,189.99,ALONISSOS,19142,12.8,9566916,249194000,9HA4145,Bulk Carrier
43.84,116014,61668,248.97,ADVANTAGE ATOM,35873,15,9472622,538006198,V7KZ3,Crude Oil Tanker
11.49,1900,1593,82.02,MARLA,613,3.67,8611013,305661000,V2FF6,General Cargo Ship
20,0,1,40,ANNEGRET,1,2,,211463020,DC7116,
11.42,186,1277,59.4,VIVE LA VIE,383,3.36,1009754,,,Yacht
12,3689,2506,87.75,WILSON GIJON,1351,5.52,9056038,314194000,8PSC,General Cargo Ship
11.38,2310,1536,82.45,DANICA HAV,774,4.18,8401535,308924000,C6ML9,General Cargo Ship
,,,58.8,ZPB-8009,,,,,,Barge Carrier
48.04,157016,82043,274.5,TAMARA,51069,17.02,9600889,636021784,5LFQ9,Crude Oil Tanker
27.04,29263,18493,169.99,VANTAGE REEF,10335,10.06,9422495,636016244,D5FE9,Bulk Carrier
11.9,3260,1981,89.95,NORDWIND,1095,4.94,9013000,305286000,V2DO8,General Cargo Ship
12.5,2953,2056,88.95,RIX AMETHYST,1168,4.34,9173185,209114000,5BQN4,General Cargo Ship
14.34,3297,1896,77.53,ZAPADNYY,990,5.34,8711837,312786000,V3MT6,Molasses Tanker
42.03,106898,58667,243.8,BOTAFOGO,32391,14.88,9395329,249575000,9HA4294,Crude/Oil Products Tanker
12,3689,2506,87.75,WILSON GIJON,1351,5.52,9056038,314194000,8PSC,General Cargo Ship
58.6,190326,214286,399,MANCHESTER MAERSK,88997,16.5,9780445,219034000,OWAV2,Container Ship (Fully Cellular)
13.6,4128,2820,89.72,LORALAND,1543,5.69,9179311,275518000,YLRI,General Cargo Ship
11.35,3005,2061,88.45,ALYA,1161,4.95,9133513,357890000,3EUP3,General Cargo Ship
23.85,34763,21043,199.98,FEDERAL THUNDER BAY,11607,10.86,9975375,538010777,V7A7413,Bulk Carrier
11.49,1900,1593,82.02,MARLA,613,3.67,8611013,305661000,V2FF6,General Cargo Ship
17,8321,6118,123.03,WILSON NEWPORT,3047,7.4,9430985,259013000,LAMX8,General Cargo Ship
15.547,5259,3952,89.992,AEROE,1923,6.2,9968140,255845000,CQVG,General Cargo Ship
11.38,2310,1536,82.45,DANICA HAV,774,4.18,8401535,308924000,C6ML9,General Cargo Ship
22.94,17916,12091,145.06,SONGA ORION,4873,8.91,9831024,255915649,CQ2107,Chemical/Products Tanker
23.04,16791,12137,144.05,ARSLAND,5493,9,9395989,249332000,9HPR9,Chemical/Products Tanker
28.05,32117,19971,178.7,AK LIZA,10477,9.79,9300855,314918000,8P2388,Bulk Carrier
32.3,56753,32983,189.99,XIN HAI TONG 20,19191,12.82,,538009105,V7A4324,
9.7,,99,24.4,www.apol.com.pl.1,,,,,,Pontoon (Function Unknown)
15,6850,4145,104.93,ARKLOW ROSE,2101,6.612,,250014193,EIA2658,
0,1469,920,64.35,BONITA,560,3.74,8609931,,,General Cargo Ship
7.5,105,142,24.23,VALDEMAR,42,3.11,8108121,219025221,OUCG2,Tug
28.44,8600,48035,239.7,STENA ESTELLE,19642,6.4,9862994,219030885,OZXB2,Passenger/Ro-Ro Ship (Vehicles)
13.03,3004,2673,87.99,PRIMA DONNA,1240,4.68,8609606,230015000,OJPX,General Cargo Ship
23.43,13200,10585,151.72,SKALAR,5372,8,9458975,255806476,CQES9,Container Ship (Fully Cellular)
14.5,6089,3782,100.85,AMBER SPIRIT,2129,6.85,9142643,305391000,V2QQ3,General Cargo Ship
12.95,3500,2622,88.3,TALINA B,1421,5.4,9466221,210534000,5BCV6,General Cargo Ship
26.07,13274,23235,193,EDDYSTONE,6971,7.4,9234070,235507000,ZIQT3,Ro-Ro Cargo Ship
11.38,2308,1532,82.48,ARCTICA HAV,853,4.22,8403571,311818000,C6UL8,General Cargo Ship
16.85,7100,5313,115.46,KAARI,2350,6.28,9434761,305342000,V2DU8,General Cargo Ship
14.5,6050,4255,114.4,NICOLE,2341,6.04,9454814,255806441,CQEO6,General Cargo Ship
15.43,7953,5040,119.98,KAROLIINA,2681,7.05,9381380,305201000,V2QZ6,General Cargo Ship
21.64,15012,12743,143.1,HAPPY PEREGRINE,3823,9.5,9553660,219558000,OWWQ2,LPG Tanker
23.5,14220,12514,157.93,SVENDBORG,5387,8.6,9454230,255805594,CQHS,Container Ship (Fully Cellular)
27.04,17894,17488,168.11,ELBSUMMER,8125,9.61,9386718,255805884,CQYE,Container Ship (Fully Cellular)
12.65,3801,2518,89.75,BALTIC ECLIPSE,1423,5.49,9963011,255915749,CQ2207,General Cargo Ship
17.43,4994,5036,99.9,CGAS PANTHER,1511,7.06,9578000,249362000,9HA4214,LPG Tanker
51.07,173724,149228,365.9,MSC OLIVIA,92930,17,9954761,636022723,5LKD7,Container Ship (Fully Cellular)
18.2,8259,5581,108.4,AK AMBITION,2849,7.04,9306421,304285000,V2YE3,General Cargo Ship
32.31,82178,44574,229,ROSTRUM HEDONIST,27155,14.5,9955894,636093240,5LHD5,Bulk Carrier
21.64,15012,12743,143.1,HAPPY PEREGRINE,3823,9.5,9553660,219558000,OWWQ2,LPG Tanker
14.4,5750,3870,106.12,AMBER SKY,2132,6.14,9312688,255806387,CQEH8,General Cargo Ship
48.04,157781,81545,277,SILVERWAY,51131,17.17,9742912,636017059,D5JC5,Crude Oil Tanker
42.03,109575,60193,243,LUZON SPIRIT,34040,15.41,9572276,311000467,C6CG7,Crude/Oil Products Tanker
29.87,33648,25672,207.37,JPO GEMINI,13597,11.4,9294020,636091995,A8VF7,Container Ship (Fully Cellular)
14,5005,2999,89.99,RIX VENTURE,1639,6.1,9238399,212673000,5BSR6,General Cargo Ship
14.5,7712,5044,125.79,ANNA,2718,6.5,9566796,305842000,V2HU3,General Cargo Ship
12.65,3850,2518,89.75,BALTIC WIND,1423,5.49,9953999,255915582,CQ2040,General Cargo Ship
42.03,107508,60379,243.8,IONIC ASPIS,32114,14.58,9523287,538007962,V7IR6,Crude Oil Tanker
21,15008,9758,136.47,ARKLOW MUSE,5240,8.48,9509487,250002821,EINV3,General Cargo Ship
32.3,56753,32983,189.99,XIN HAI TONG 20,19191,12.82,9534145,538009105,V7A4324,Bulk Carrier
23,9282,8255,126,BBC KIBO,3966,7.6,9508421,305757000,V2FQ5,General Cargo Ship
28.56,38981,24109,189.98,KOCIEWIE,13255,10.58,9423798,311014100,C6XM5,Bulk Carrier
28.438,10748,48035,239.673,STENA EBBA,19642,6.4,9863003,219031310,OZXE2,Passenger/Ro-Ro Ship (Vehicles)
15,6885,4145,104.93,ARKLOW ROVER,2102,6.6,9923279,250014194,EIA2659,General Cargo Ship
48,157115,83480,274,SATURN MOON,51501,17.15,9814430,636019541,D5UY9,Crude/Oil Products Tanker
29.831,37722,23238,180,NORD VANCOUVER,12101,10.54,9919541,352001160,3E3427,Bulk Carrier
12.6,4066,2767,90.27,EEMS RIVER,1622,5.6,9528524,246802000,PCLH,General Cargo Ship
22.8,17945,12763,149.9,FURE VIKEN,5838,9.36,9980318,265057000,SBLJ,Chemical/Products Tanker
15,6885,4145,104.93,ARKLOW RANGER,2102,6.61,9923243,250014572,EIA2572,General Cargo Ship
21.8,10316,8032,138.15,JSP MISTRAL,3615,7.75,9368041,305643000,V2FD7,Container Ship (Fully Cellular)
44.03,113172,62513,249.9,MINERVA BALTICA,35199,15.02,9728241,248292000,9HA4597,Crude Oil Tanker
27.24,28436,16960,169.3,AMALIYA,10498,9.78,9312341,248153000,9HA2210,Bulk Carrier
14.07,4874,3173,98.83,KERDA,1725,6.05,9289790,304776000,V2RC5,General Cargo Ship
32.06,38894,25818,179.95,BANGLAR JOYJATRA,13271,10.5,9793820,405000240,S2AI5,Bulk Carrier
61.3,224819,235341,399.99,OOCL FINLAND,70978,16.5,9922536,477941100,VRVX3,Container Ship (Fully Cellular)
11.54,3357,2064,87.99,COE MINA,1074,5.24,8509820,268246900,T7AS5,General Cargo Ship
13.35,5080,2926,89,LIDAN,1468,6.24,9924730,231897000,OZ2218,General Cargo Ship
16.85,7323,5261,115.5,KIMBERLY,2382,6.28,9378242,305238000,V2DK3,General Cargo Ship
21,15008,9758,136.47,ARKLOW MUSE,5240,8.48,9509487,250002821,EINV3,General Cargo Ship
9.48,1536,989,72.53,WILSON EMS,528,4.05,9117117,314258000,8PUN,General Cargo Ship
13.44,4114,2862,94.7,HUMBER RUNNER,1295,5.7,9467184,255802270,CQOM,General Cargo Ship
48.26,155851,141635,366.46,MSC BENEDETTA XIII,63825,16.5,9465253,636022293,D5OY6,Container Ship (Fully Cellular)
23.54,14727,11550,157.71,ELBSKY,5839,8.7,9412531,305576000,V2EV8,Container Ship (Fully Cellular)
14.5,6089,3782,100.85,AMBER SPIRIT,2129,6.85,,305391000,V2QQ3,
13.03,3582,2416,84.95,GT AURIGA,1022,5.44,9041318,304010285,V2PY2,General Cargo Ship
11.55,2684,1589,82.65,RIX STREAM,844,4.79,9111125,209968000,5BML5,General Cargo Ship
13.03,3582,2416,84.95,GT AURIGA,1022,5.44,9041318,304010285,V2PY2,General Cargo Ship
12.27,2490,1627,85.26,ANGON,741,5.31,9131199,261037120,SNAN,Products Tanker
13.43,6477,4298,118.19,FRISIAN SEA,1880,6.1,9534547,244780424,PCLF,General Cargo Ship
15.95,9567,6130,132.23,MONTSERRAT,3608,7.5,9213739,304095000,V2RE7,General Cargo Ship
15.95,9567,6130,132.23,MONTSERRAT,3608,7.5,9213739,304095000,V2RE7,General Cargo Ship
13.43,5235,3500,99.37,REYMAR,1382,6.16,9552032,212880000,5BNU4,General Cargo Ship
13.75,2950,2199,89.95,RAID,1161,4.35,9488827,259220000,3YJI,General Cargo Ship
29.1,5579,35891,173.4,MONT ST MICHEL,14358,6.2,9238337,227023100,FNMT,Passenger/Ro-Ro Ship (Vehicles)
23.5,14233,12514,157.94,NORDIC ISTRIA,5387,8.6,9474383,255806452,CQEP9,Container Ship (Fully Cellular)
9.4,772,627,53.6,SATURN,297,3.45,6604690,219000245,OUHO2,General Cargo Ship
15.5,2355,2327,68.95,BAZALT II,751,6,9250036,210444000,5BAK6,Anchor Handling Tug Supply
25.6,21148,17368,168.1,NORTH,7822,10.5,9491501,,9HA6394,Container Ship (Fully Cellular)
16.5,6419,5232,115.5,GRINNA,2382,5.7,9318955,258812000,LAYJ7,General Cargo Ship
12.27,2490,1627,85.26,ANGON,741,5.31,9131199,261037120,SNAN,Products Tanker
30.05,34983,23432,180,CHRISTINA SELMER,3026,10.07,9474578,,,Bulk Carrier
16.85,7136,5232,115.5,GRINNA,2382,6.26,9318955,258812000,LAYJ7,General Cargo Ship
30.05,34983,23432,180,CHRISTINA SELMER,11359,10.07,9474278,538007974,V7OL2,Bulk Carrier
23.5,14220,12514,157.93,SVENDBORG,5387,8.6,9454230,255805594,CQHS,Container Ship (Fully Cellular)
9.4,837,627,53.6,SATURN,297,3.45,6604690,219000245,OUHO2,General Cargo Ship
12.27,2490,1627,85.26,ANGON,741,5.31,9131199,261037120,SNAN,Products Tanker
23.5,14233,12514,157.94,NORDIC ISTRIA,5387,8.6,9474383,255806452,CQEP9,Container Ship (Fully Cellular)
25.83,21293,17368,168.03,NORTH,7822,10.5,9491501,249814000,9HA6394,Container Ship (Fully Cellular)
13.2,3800,2787,89.43,VEGA ELISA,1438,5.25,1077696,304789000,V2IB5,General Cargo Ship
16.14,8096,5751,118.14,ONEGO ROTTERDAM,3048,7.21,9631345,305961000,V2QO7,General Cargo Ship
15.5,2355,2327,68.95,BAZALT II,751,6,9250036,210444000,5BAK6,Anchor Handling Tug Supply
25.63,20646,15487,167.99,AVA D,7838,10.2,9306225,255705000,CQGB,Container Ship (Fully Cellular)
31,39700,25300,182.9,EMMA JANNEKE,12500,10.32,9992256,,,Bulk Carrier
46,12878,44522,213.7,YACHT SERVANT,13356,5.2,9890812,,,"Yacht Carrier, semi submersible"
18.95,12267,9524,142.1,MAASGRACHT,4402,8.4,9571492,246766000,PCJC,General Cargo Ship
48.04,156493,83850,274.08,BEIJING SPIRIT,49031,17,9418597,311000444,C6CD8,Crude Oil Tanker
48.04,157016,82043,274.5,TAMARA,51069,17.02,,636021784,5LFQ9,
15.37,3546,3625,92.9,SILVER BIRD,1952,5.6,8915524,257312000,LADP8,Refrigerated Cargo Ship
19.83,3414,9233,99.9,EMS HIGHWAY,2940,5.49,,212882000,P3NL8,
61.3,224915,235341,399.99,OOCL ABU DHABI,70978,16.34,9922524,477929200,VRVW8,Container Ship (Fully Cellular)
16.5,8294,6118,123.05,WILSON NORTH,2966,7.4,9430947,259034000,LANA8,General Cargo Ship
51.06,176752,169423,397.56,APL RAFFLES,76852,16,9631979,566881000,9V5388,Container Ship (Fully Cellular)
14.4,5750,3870,106.12,AMBER SKY,2132,6.14,9312688,255806387,CQEH8,General Cargo Ship
12.56,3850,2545,88.6,ROSI,1460,5.42,9517238,255805952,CQIG4,General Cargo Ship
,,,,TRD HORIZON,,,,,,
14,4537,2999,89.78,KARESSA,1643,5.95,9341770,305912000,V2QW3,General Cargo Ship
12.4,2953,2080,88.95,MAESTRO,1168,4.34,9214006,304196000,V2QS9,General Cargo Ship
18.23,5891,5320,117.03,ECO DOMINATOR,1995,6.81,9789532,538006873,V7SJ5,LPG Tanker
14.4,5780,3870,106.12,KJERVAAGSUND,2132,6.14,9312690,257036300,LAFK8,General Cargo Ship
32.3,80866,44218,229,GEORG OLDENDORFF,27566,14.53,9702596,255805672,CQGW,Bulk Carrier
42.88,80087,70262,270.9,SFL HAWAII,39732,14.5,9679555,636021040,5LBY6,Container Ship (Fully Cellular)
32.3,63018,36416,199.9,ROSTRUM,21225,13.32,9771030,636093236,D5XU4,Bulk Carrier
48.04,159159,82621,274.3,KIMOLOS,50932,17.02,9791145,538007774,V7VD6,Crude Oil Tanker
32.06,40030,25546,179.95,PHILLIP BAY,13674,10.5,9714757,538005705,V7GF3,Bulk Carrier
12.65,3801,2518,89.75,BALTIC ECLIPSE,1423,5.49,9963011,255915749,CQ2207,General Cargo Ship
59,214121,194849,399.2,MORTEN MAERSK,89317,17,9632105,219609000,OWLW2,Container Ship (Fully Cellular)
22.8,15443,10990,138.04,HAPPY RANGER,5041,9.5,9139311,245539000,PCER,General Cargo Ship
25.6,18276,14784,156.93,HAPPY DELTA,6070,10.35,9551935,246659000,PBXF,General Cargo Ship
8.51,188,242,31.32,HIPPO,72,3.8,8422058,377207000,J8B6477,Tug
17.2,7770,5803,122.66,NIKE,2428,6.85,9431032,249803000,9HA2013,Chemical/Products Tanker
