BEAM - szerokość całkowita,DWT - nośność statku,GT - pojemność statku brutto,LOA - długość statku,Nazwa statku,NT - pojemność statku netto,Maksymalne zanurzenie letnie,Numer IMO,Numer MMSI,Sygnał wywoławczy,Typ statku
22.63,17604,11259,144.06,SONGA JADE,5265,9.21,9473925,215698000,9HA2077,Crude/Oil Products Tanker
13.2,3853,2783,89.43,IJSSELVLIET,1438,5.25,1050832,245085000,PDDQ,General Cargo Ship
15.44,4800,3610,100.71,KERTU,1783,5.88,9344368,256956000,9HA4046,General Cargo Ship
15.5,2355,2327,68.95,BAZALT II,751,6,9250036,210444000,5BAK6,Anchor Handling Tug Supply
12.71,3270,2051,89.88,KLARA,1117,4.63,9115896,218058660,DJFP,General Cargo Ship
13.03,3005,2673,87.99,EMMA F,1009,4.7,8609618,305190000,V2HP9,General Cargo Ship
13.7,4624,2956,89.5,WILSON PALMA,1558,5.9,9368417,257237000,LATW8,General Cargo Ship
35,84790,45252,228.95,MG Earth,28894,14.467,9774276,351755000,3EIJ6,Bulk Carrier
15.73,4000,3817,97.6,SILVER GALE,1446,6,9140956,257900000,LAPM8,Refrigerated Cargo Ship
18,20254,17982,169.95,CONTAINERSHIPS ARCTIC,9861,9.6,9818400,209717000,5BJD5,Container Ship (Fully Cellular)
20,12898,8289,140.55,SENATA,5253,7.5,9451575,253683000,LXSL,Bulk Carrier
14.5,6089,3782,100.85,AMBER SPIRIT,2129,6.85,9142643,305391000,V2QQ3,General Cargo Ship
11.38,2310,1536,82.11,DANICA HAV,774,4.18,8401535,308924000,C6ML9,General Cargo Ship
44,116337.3,62884,249.9,SEA HYMN,35565,15.024,9412036,538010456,V7A6068,Crude Oil Tanker
45,182571,93297,292,True Chariot,,18.18,9726774,,,Bulk Carrier
14.09,3882,3300,99.96,DIABELLI,1055,5.25,9866964,210336000,5BXB5,Chemical/Products Tanker
13,4245,2373,88,STRAMI,1434,5.46,8922254,311973000,C6UN9,General Cargo Ship
45.04,182060,93360,292,Andros Princess,61829,18.2,9469558,,5LDW8,Bulk Carrier
24.2,19803,11733,141,XT PIONEER,6115,9.71,9640126,,D5VV4,Chemical/Products Tanker
